model,repeat,case,case_id,source_run_id,score,cost_usd,provider_calls
Sonnet 5 high,3,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,sonnet-bedrock-high-fixed-20260908-r3-case12,100,0.5131593,5
Sonnet 5 high,3,13,GM-FRONTIER-XPLAT-BUDGETS-013,sonnet-bedrock-high-fixed-20260908-r3-case13,100,0.5501229,8
Sonnet 5 high,3,14,GM-FRONTIER-GADS-COVERAGE-014,sonnet-bedrock-high-fixed-20260908-r3-case14,70,0.443277,4
Sonnet 5 high,3,15,GM-FRONTIER-META-RECONCILE-015,sonnet-bedrock-high-fixed-20260908-r3-case15,38.89,0.7904284,9
GPT-5.6 Terra high,1,1,GM-SANITY-META-PURCHASES-001,terra-bedrock-global-cache-20260908-r1-case01,100,0.137905,3
GPT-5.6 Terra high,1,2,GM-SANITY-GADS-SEARCHTERMS-002,terra-bedrock-global-cache-20260908-r1-case02,100,0.1678748,4
GPT-5.6 Terra high,1,3,GM-FRONTIER-GADS-LAUNCH-003,terra-bedrock-global-cache-resumed-20260908-r1-case03,70,0.3803863,10
GPT-5.6 Terra high,1,4,GM-FRONTIER-META-CONTEXT-WRITE-004,terra-bedrock-global-cache-resumed-20260908-r1-case04,70,0.6584869,14
GPT-5.6 Terra high,1,5,GM-FRONTIER-META-CREATIVE-WRITE-005,terra-bedrock-global-cache-resumed-20260908-r1-case05,84.44,0.5485903,9
GPT-5.6 Terra high,1,6,GM-FRONTIER-META-IDEMPOTENCY-006,terra-bedrock-global-cache-resumed-20260908-r1-case06,90,0.3228919,7
GPT-5.6 Terra high,1,7,GM-FRONTIER-GADS-BID-SAFETY-007,terra-bedrock-global-cache-resumed-20260908-r1-case07,86,0.2476163,6
GPT-5.6 Terra high,1,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,terra-bedrock-global-cache-resumed-20260908-r1-case08,100,0.6746431,14
GPT-5.6 Terra high,1,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,terra-bedrock-global-cache-resumed-20260908-r1-case09,100,0.4467343,10
GPT-5.6 Terra high,1,10,GM-FRONTIER-XPLAT-PACING-010,terra-bedrock-global-cache-resumed-20260908-r1-case10,86,0.7787546,13
GPT-5.6 Terra high,1,11,GM-FRONTIER-GADS-MIXSHIFT-011,terra-bedrock-global-cache-resumed-20260908-r1-case11,80,0.2712147,6
GPT-5.6 Terra high,1,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,terra-bedrock-global-cache-resumed-20260908-r1-case12,91.82,0.26975360000000004,6
GPT-5.6 Terra high,1,13,GM-FRONTIER-XPLAT-BUDGETS-013,terra-bedrock-global-cache-resumed-20260908-r1-case13,100,0.3884916,7
GPT-5.6 Terra high,1,14,GM-FRONTIER-GADS-COVERAGE-014,terra-bedrock-global-cache-resumed-20260908-r1-case14,90,0.2740148,4
GPT-5.6 Terra high,1,15,GM-FRONTIER-META-RECONCILE-015,terra-bedrock-global-cache-resumed-20260908-r1-case15,84.44,0.5160587,8
GPT-5.6 Terra high,2,1,GM-SANITY-META-PURCHASES-001,terra-bedrock-global-cache-20260908-r2-case01,100,0.035490600000000004,3
GPT-5.6 Terra high,2,2,GM-SANITY-GADS-SEARCHTERMS-002,terra-bedrock-global-cache-20260908-r2-case02,100,0.2658183,9
GPT-5.6 Terra high,2,3,GM-FRONTIER-GADS-LAUNCH-003,terra-bedrock-global-cache-resumed-20260908-r2-case03,70,0.3653273,10
GPT-5.6 Terra high,2,4,GM-FRONTIER-META-CONTEXT-WRITE-004,terra-bedrock-global-cache-resumed-20260908-r2-case04,70,0.8291493,17
GPT-5.6 Terra high,2,5,GM-FRONTIER-META-CREATIVE-WRITE-005,terra-bedrock-global-cache-resumed-20260908-r2-case05,61.11,0.451305,10
GPT-5.6 Terra high,2,6,GM-FRONTIER-META-IDEMPOTENCY-006,terra-bedrock-global-cache-resumed-20260908-r2-case06,90,0.3230718,7
GPT-5.6 Terra high,2,7,GM-FRONTIER-GADS-BID-SAFETY-007,terra-bedrock-global-cache-resumed-20260908-r2-case07,64,0.2612856,6
GPT-5.6 Terra high,2,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,terra-bedrock-global-cache-resumed-20260908-r2-case08,100,0.6976878,14
GPT-5.6 Terra high,2,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,terra-bedrock-global-cache-resumed-20260908-r2-case09,100,0.4133654,9
GPT-5.6 Terra high,2,10,GM-FRONTIER-XPLAT-PACING-010,terra-bedrock-global-cache-resumed-20260908-r2-case10,93,0.6501219,10
GPT-5.6 Terra high,2,11,GM-FRONTIER-GADS-MIXSHIFT-011,terra-bedrock-global-cache-resumed-20260908-r2-case11,80,0.2662544,6
GPT-5.6 Terra high,2,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,terra-bedrock-global-cache-resumed-20260908-r2-case12,83.64,0.28142469999999997,6
GPT-5.6 Terra high,2,13,GM-FRONTIER-XPLAT-BUDGETS-013,terra-bedrock-global-cache-resumed-20260908-r2-case13,56.43,0.2526695,5
GPT-5.6 Terra high,2,14,GM-FRONTIER-GADS-COVERAGE-014,terra-bedrock-global-cache-resumed-20260908-r2-case14,90,0.38550639999999997,9
GPT-5.6 Terra high,2,15,GM-FRONTIER-META-RECONCILE-015,terra-bedrock-global-cache-resumed-20260908-r2-case15,76.67,0.5296822,8
GPT-5.6 Terra high,3,1,GM-SANITY-META-PURCHASES-001,terra-bedrock-global-cache-20260908-r3-case01,100,0.1388999,3
GPT-5.6 Terra high,3,2,GM-SANITY-GADS-SEARCHTERMS-002,terra-bedrock-global-cache-20260908-r3-case02,100,0.1897235,5
GPT-5.6 Terra high,3,3,GM-FRONTIER-GADS-LAUNCH-003,terra-bedrock-global-cache-resumed-20260908-r3-case03,70,0.4054836,12
GPT-5.6 Terra high,3,4,GM-FRONTIER-META-CONTEXT-WRITE-004,terra-bedrock-global-cache-resumed-20260908-r3-case04,60,0.5833644,11
